iata	icao	airline	callsign	country	comments	active
KB	DRK	Druk Air	ROYAL BHUTAN	Bhutan		1
DI	BAG	Dba	SPEEDWAY	Germany	Merged into Air Berlin	0
9A	EZX	Eagle Express Air Charter	EAGLEXPRESS	Malaysia		1
VE	EUJ	EUjet	UNION JET	Ireland	defunct	0
BR	EVA	EVA Air	EVA	Taiwan		1
EY	EFL	Eagle Air	FLYING EAGLE	Tanzania		1
H7	EGU	Eagle Air	AFRICAN EAGLE	Uganda		1
NZ	EAG	Eagle Airways	EAGLE	New Zealand		1
QU	UTN	UTair-Ukraine	UT Ukraine	Ukraine		1
S9	HSA	East African Safari Air	DUMA	Kenya		1
ZE	ESR	Eastar Jet	EASTAR	South Korea		1
EA	EAL	Eastern Air Lines	EASTERN	United States	defunct	0
T3	EZE	Eastern Airways	EASTFLIGHT	United Kingdom		1
QF	EAQ	Eastern Australia Airlines	EASTERN	Australia	IATA dupe with parent QANTAS. Also uses 2 letter ICAO EA.	1
DK	ELA	Eastland Air		Australia		1
W9	SGR	Eastwind Airlines	STINGER	United States	defunct	0
WK	EDW	Edelweiss Air	EDELWEISS	Switzerland		1
MS	MSR	Egyptair	EGYPTAIR	Egypt		1
LY	ELY	El Al Israel Airlines	ELAL	Israel		1
UZ	BRQ	El-Buraq Air Transport	BURAQAIR	Libya		1
EK	UAE	Emirates Airline	EMIRATES	United Arab Emirates		1
EM	CFS	Empire Airlines	EMPIRE AIR	United States		1
EU	EEA	Empresa Ecuatoriana De Aviación	ECUATORIANA	Ecuador		1
G8	ENK	Enkor JSC	ENKOR	Russia		1
OF	ENT	Enter Air	ENTER	Poland		1
E0	ESS	Eos Airlines	NEW DAWN	United States		1
B8	ERT	Eritrean Airlines	ERITREAN	Eritrea		1
E7	ESF	Estafeta Carga Aérea		Mexico		1
OV	ELL	Estonian Air	ESTONIAN	Estonia		1
ET	ETH	Ethiopian Airlines	ETHIOPIAN	Ethiopia		1
EY	ETD	Etihad Airways	ETIHAD	United Arab Emirates		1
MM	MMZ	EuroAtlantic Airways	EUROATLANTIC	Portugal		1
UI	ECA	Eurocypria Airlines	EUROCYPRIA	Cyprus		1
GJ	EEZ	Eurofly	E-FLY	Italy		1
K2	ELO	Eurolot	EUROLOT	Poland		1
3W	EMX	Euromanx Airways	EUROMANX	Austria		1
5O	FPO	Europe Airpost	FRENCH POST	France		1
EA	EAL	European Air Express	STAR WING	Germany		1
QY	BCS	European Air Transport	EUROTRANS	Belgium		1
E7	EAF	European Aviation Air Charter	EUROCHARTER	United Kingdom		1
EW	EWG	Eurowings	EUROWINGS	Germany		1
