code,name,city,country,timezone,lat,lng,terminal,gate
ABX,Albury,Albury,Australia,Australia/Broken_Hill,-36.067778,146.958056,,
ABZ,Dyce,Aberdeen,United Kingdom,Europe/London,57.201944,-2.197778,,
ISB,Chaklala,Islamabad,Pakistan,Asia/Karachi,33.616653,73.099233,,
RDM,Roberts Fld,Redmond-Bend,United States,America/Los_Angeles,44.254066,-121.149964,,
RDN,Redang,Redang,Malaysia,Asia/Kuala_Lumpur,5.76528,103.007,,
ACA,General Juan N Alvarez Intl,Acapulco,Mexico,America/Mexico_City,16.757061,-99.753953,,
ACC,Kotoka Intl,Accra,Ghana,Africa/Accra,5.605186,-0.166786,,
RDU,Raleigh Durham Intl,Raleigh-durham,United States,America/Kentucky/Monticello,35.877639,-78.787472,,
ACE,Lanzarote,Las Palmas,Spain,Atlantic/Canary,28.945464,-13.605225,,
ISO,Kinston Regional Jetport,Kinston,United States,America/Kentucky/Monticello,35.331389,-77.608889,,
ISN,Sloulin Fld Intl,Williston,United States,America/North_Dakota/Center,48.177939,-103.642347,,
RDV,Red Devil Airport,Red Devil,United States,America/Anchorage,61.788056,-157.350278,,
ACI,Alderney,Alderney,Guernsey,Europe/London,49.706111,-2.214722,,
ISP,Long Island Mac Arthur,Islip,United States,America/New_York,40.79525,-73.100222,,
ACK,Nantucket Mem,Nantucket,United States,America/New_York,41.253053,-70.060181,,
RDZ,Marcillac,Rodez,France,Europe/Paris,44.407869,2.482672,,
ISU,Sulaymaniyah International Airport,Sulaymaniyah,Iraq,Asia/Baghdad,35.5608,45.3147,,
IST,Ataturk,Istanbul,Turkey,Europe/Istanbul,40.976922,28.814606,,
ZUH,Zhuhai Airport,Zhuhai,China,Asia/Shanghai,22.0064,113.376,,
ACP,Sahand Airport,Maragheh,Iran,Asia/Tehran,37.348017,46.127903,,
REA,Reao,Reao,French Polynesia,UTC,-18.465861,-136.439706,,
ACS,,,,Asia/Yakutsk,0,0,,
REC,Guararapes Gilberto Freyre Intl,Recife,Brazil,America/Recife,-8.126794,-34.923039,,
ZUM,Churchill Falls Airport,Churchill Falls,Canada,America/Goose_Bay,53.5619,-64.1064,,
REG,Reggio Calabria,Reggio Calabria,Italy,Europe/Rome,38.071206,15.651556,,
ACY,Atlantic City Intl,Atlantic City,United States,America/New_York,39.457583,-74.577167,,
ACZ,,,,Asia/Tehran,0,0,,
REL,Almirante Zar,Trelew,Argentina,America/Argentina/Rio_Gallegos,-43.2105,-65.270319,,
REN,Orenburg,Orenburg,Russia,Asia/Aqtobe,51.795786,55.456744,,
ITH,Ithaca Tompkins Rgnl,Ithaca,United States,America/New_York,42.491028,-76.458444,,
REP,Siem Reap,Siem-reap,Cambodia,Asia/Phnom_Penh,13.410666,103.81284,,
ADA,Adana,Adana,Turkey,Europe/Istanbul,36.982166,35.280388,,
ADB,Adnan Menderes,Izmir,Turkey,Europe/Istanbul,38.292392,27.156953,,
ADD,Bole Intl,Addis Ababa,Ethiopia,Africa/Addis_Ababa,8.977889,38.799319,,
RES,Resistencia,Resistencia,Argentina,America/Argentina/Cordoba,-27.449986,-59.056125,,
